"UniqueID","test","Adj.P.Value","P.Value","logFC"
"Bmx","Old_CDvsYoung_CD",3.4773493864767e-08,8.82352039197336e-12,-0.83318623597657
"Ces3a","Old_CDvsYoung_CD",7.32085269425005e-08,3.71522592958643e-11,-0.979803543173929
"Ces3b","Old_CDvsYoung_CD",1.19566902547701e-07,9.10176878059127e-11,-0.758401399744612
"Cyp2d10","Old_CDvsYoung_CD",1.884065635658e-07,1.91227164238316e-10,-0.237863514132714
"Nudt7","Old_CDvsYoung_CD",1.146707205327e-05,1.4548429400241e-08,-0.591601813277371
"Rbp1","Old_CDvsYoung_CD",1.38336589238647e-05,2.10611402038031e-08,0.3323617061599
"Cyp2d11","Old_CDvsYoung_CD",2.37555766481016e-05,4.8222434200663e-08,-0.194253117395638
"Car3","Old_CDvsYoung_CD",2.37555766481016e-05,4.56525934566067e-08,-0.55489009725253
"Mup2","Old_CDvsYoung_CD",6.10727696076856e-05,1.39470927802378e-07,-1.16714189239602
"Acsl1","Old_CDvsYoung_CD",0.000160268264827029,4.06669030263965e-07,-0.187654401131454
"Pnpla6","Old_CDvsYoung_CD",0.000198721019367488,5.54664098716662e-07,-0.650547575260896
"Mup20","Old_CDvsYoung_CD",0.000333392559967206,1.06378172544364e-06,-0.868898231630354
"Ugt2b5","Old_CDvsYoung_CD",0.000333392559967206,1.099747089463e-06,-0.24470208619716
"Grn","Old_CDvsYoung_CD",0.000435134747914116,1.54577175102706e-06,0.224000763259585
"Mup11","Old_CDvsYoung_CD",0.000486819613970426,1.85290388468825e-06,-1.02323849135182
"Dcn","Old_CDvsYoung_CD",0.00049168245055413,2.14534031027674e-06,0.219346366823761
"Keg1","Old_CDvsYoung_CD",0.00049168245055413,2.21382060165839e-06,-0.269084233894493
"Mup4","Old_CDvsYoung_CD",0.00049168245055413,2.2456950291739e-06,-0.338815461178803
"Actn1","Old_CDvsYoung_CD",0.000534209166402196,2.59819858048282e-06,0.109381915832561
"Prelp","Old_CDvsYoung_CD",0.000534209166402196,2.7374086007947e-06,0.280929064922316
"Cp","Old_CDvsYoung_CD",0.000534209166402196,2.84658525613959e-06,0.194607230239149
"Itih4","Old_CDvsYoung_CD",0.000560660964447335,3.12979985228149e-06,0.184418981615738
"Mug1","Old_CDvsYoung_CD",0.00102243130362131,5.96699314470697e-06,-0.347539787732082
"Napsa","Old_CDvsYoung_CD",0.00103323438079596,6.29221647782368e-06,0.217516028977734
"Sfpq","Old_CDvsYoung_CD",0.00124470337798532,7.89586004811801e-06,-0.260686582680048
"Lum","Old_CDvsYoung_CD",0.00128868223661406,8.5018366282582e-06,0.175084728645381
