id,UniqueID,Gene.Name,Protein.ID,GeneType
0,Sept1,Sept1,,protein_coding
1,March2,March2,,protein_coding
2,Sept2,Sept2,,protein_coding
3,Sept3,Sept3,,protein_coding
4,Sept4,Sept4,,protein_coding
5,Sept5,Sept5,,protein_coding
6,Sept6,Sept6,,protein_coding
7,Sept7,Sept7,,protein_coding
8,Sept8,Sept8,,protein_coding
9,March5,March5,,protein_coding
10,Sept9,Sept9,,protein_coding
11,Sept11,Sept11,,protein_coding
12,Sep15,Sep15,,protein_coding
13,0610007P14Rik,0610007P14Rik,,protein_coding
14,0610009D07Rik,0610009D07Rik,,protein_coding
15,0610011F06Rik,0610011F06Rik,,protein_coding
16,0610031J06Rik,0610031J06Rik,,protein_coding
17,0610037L13Rik,0610037L13Rik,,protein_coding
18,1110049F12Rik,1110049F12Rik,,protein_coding
19,1110067D22Rik,1110067D22Rik,,protein_coding
20,1190003J15Rik,1190003J15Rik,,protein_coding
21,1300001I01Rik,1300001I01Rik,,protein_coding
22,1300017J02Rik,1300017J02Rik,,protein_coding
23,1300018J18Rik,1300018J18Rik,,protein_coding
24,1500002O20Rik,1500002O20Rik,,protein_coding
25,1500003O03Rik,1500003O03Rik,,protein_coding
26,1600014C10Rik,1600014C10Rik,,protein_coding
27,1700037H04Rik,1700037H04Rik,,protein_coding
28,1700047I17Rik2,1700047I17Rik2,,protein_coding
29,1810014F10Rik,1810014F10Rik,,protein_coding
30,1810020D17Rik,1810020D17Rik,,protein_coding
31,1810027O10Rik,1810027O10Rik,,protein_coding
32,1810046J19Rik,1810046J19Rik,,protein_coding
33,1810063B05Rik,1810063B05Rik,,protein_coding
34,1810074P20Rik,1810074P20Rik,,protein_coding
35,2010107E04Rik,2010107E04Rik,,protein_coding
36,Coa7,Coa7,,protein_coding
37,2310001A20Rik,2310001A20Rik,,protein_coding
38,2310044H10Rik,2310044H10Rik,,protein_coding
39,2310047M10Rik,2310047M10Rik,,protein_coding
40,2410001C21Rik,2410001C21Rik,,protein_coding
41,2410127L17Rik,2410127L17Rik,,protein_coding
42,2500003M10Rik,2500003M10Rik,,protein_coding
43,2610002M06Rik,2610002M06Rik,,protein_coding
44,2610029G23Rik,2610029G23Rik,,protein_coding
45,2610301G19Rik,2610301G19Rik,,protein_coding
46,2700060E02Rik,2700060E02Rik,,protein_coding
47,2810055F11Rik,2810055F11Rik,,protein_coding
48,2810405K02Rik,2810405K02Rik,,protein_coding
49,2810432D09Rik,2810432D09Rik,,protein_coding
50,2810459M11Rik,2810459M11Rik,,protein_coding
51,2900010M23Rik,2900010M23Rik,,protein_coding
52,2900064A13Rik,2900064A13Rik,,protein_coding
53,Dmac1,Dmac1,,protein_coding
54,3110003A17Rik,3110003A17Rik,,protein_coding
55,4930455C21Rik,4930455C21Rik,,protein_coding
56,4930506M07Rik,4930506M07Rik,,protein_coding
57,4931406C07Rik,4931406C07Rik,,protein_coding
58,4933403F05Rik,4933403F05Rik,,protein_coding
59,4933424B01Rik,4933424B01Rik,,protein_coding
60,5033411D12Rik,5033411D12Rik,,protein_coding
61,5730494N06Rik,5730494N06Rik,,protein_coding
62,6330409N04Rik,6330409N04Rik,,protein_coding
63,6530401N04Rik,6530401N04Rik,,protein_coding
64,6720456B07Rik,6720456B07Rik,,protein_coding
65,9030617O03Rik,9030617O03Rik,,protein_coding
66,9430016H08Rik,9430016H08Rik,,protein_coding
67,A1cf,A1cf,,protein_coding
68,A230051G13Rik,A230051G13Rik,,protein_coding
69,A2m,A2m,,protein_coding
70,Aacs,Aacs,,protein_coding
71,Aadac,Aadac,,protein_coding
72,Aadat,Aadat,,protein_coding
73,Aak1,Aak1,,protein_coding
74,Aars,Aars,,protein_coding
75,Aarsd1,Aarsd1,,protein_coding
76,Aass,Aass,,protein_coding
77,Abat,Abat,,protein_coding
78,Abca6,Abca6,,protein_coding
79,Abca9,Abca9,,protein_coding
80,Abcb10,Abcb10,,protein_coding
81,Abcb11,Abcb11,,protein_coding
82,Abcb1a,Abcb1a,,protein_coding
83,Abcb1b,Abcb1b,,protein_coding
84,Abcb4,Abcb4,,protein_coding
85,Abcb7,Abcb7,,protein_coding
86,Abcb8,Abcb8,,protein_coding
87,Abcb9,Abcb9,,protein_coding
88,Abcc2,Abcc2,,protein_coding
89,Abcc3,Abcc3,,protein_coding
90,Abcc6,Abcc6,,protein_coding
91,Abcd1,Abcd1,,protein_coding
92,Abcd3,Abcd3,,protein_coding
93,Abce1,Abce1,,protein_coding
94,Abcf1,Abcf1,,protein_coding
95,Abcf3,Abcf3,,protein_coding
96,Abcg2,Abcg2,,protein_coding
97,Abhd11,Abhd11,,protein_coding
98,Abhd12,Abhd12,,protein_coding
99,Abhd14b,Abhd14b,,protein_coding
100,Abhd15,Abhd15,,protein_coding
101,Abhd16a,Abhd16a,,protein_coding
102,Abhd3,Abhd3,,protein_coding
103,Abhd4,Abhd4,,protein_coding
104,Abhd5,Abhd5,,protein_coding
105,Abhd6,Abhd6,,protein_coding
106,Abi1,Abi1,,protein_coding
107,Ablim1,Ablim1,,protein_coding
108,Acaa1a,Acaa1a,,protein_coding
109,Acaa1b,Acaa1b,,protein_coding
110,Acaa2,Acaa2,,protein_coding
111,Acaca,Acaca,,protein_coding
112,Acacb,Acacb,,protein_coding
113,Acad10,Acad10,,protein_coding
